"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","346","idan","oauthlib","marazt","2015-06-08 17:23:16","Hi, it is possible to publish new version into pypi?
","start issue","New pypi version"
"issue_closed","346","idan","oauthlib","ib-lundgren","2015-07-20 08:03:47","","closed issue","New pypi version"
"issue_comment","346","idan","oauthlib","thedrow","2015-06-15 12:57:38","Now that we have cryptography instead of pycrypto we really need a new release.
","",""
"issue_comment","346","idan","oauthlib","KarelJakubec","2015-06-15 13:10:29","+1

We would really appreciate a release with https://github.com/idan/oauthlib/pull/323, current situation breaks our setup a bit, as we need to clone repo first and then install it from source instead of simple 'pip install oautlib'.

Thanks
","",""
"issue_comment","346","idan","oauthlib","masci","2015-06-19 22:12:34",":+1: please let me know if I can help in any way
","",""
"issue_comment","346","idan","oauthlib","thedrow","2015-06-20 05:37:12","@ib-lundgren Can you please add me as a maintainer and give me access to PyPi?
I'll release it myself.
","",""
"issue_comment","346","idan","oauthlib","widnyana","2015-06-23 03:34:25","@KarelJakubec since @ib-lundgren looks quite busy, you can use pip to install oauthlib from specific commit hash until he publish a new release to pypi :)
","",""
"issue_comment","346","idan","oauthlib","thedrow","2015-07-04 14:20:07","New release comming soon. :)
","",""
"issue_comment","346","idan","oauthlib","marazt","2015-07-14 06:33:17",":+1:
","",""
"issue_comment","346","idan","oauthlib","thedrow","2015-07-14 07:27:39","I haven't forgot about this. I just didn't have the time to complete all release notes.
I'll probably release this weekend.
","",""
"issue_comment","346","idan","oauthlib","ghost","2015-07-15 09:07:01","+1
","",""
"issue_comment","346","idan","oauthlib","thedrow","2015-07-19 10:39:01","I tried to release but something's wrong with Travis-CI. See https://github.com/travis-ci/travis-ci/issues/4464
","",""
"issue_comment","346","idan","oauthlib","thedrow","2015-07-19 13:33:01","@ib-lundgren The password you provided for Travis is incorrect. https://travis-ci.org/idan/oauthlib/jobs/71644209#L422
","",""
"issue_comment","346","idan","oauthlib","ib-lundgren","2015-07-20 08:03:47","@thedrow apologies. I must have mistyped it when setting up travis (yay enter-once password prompts).

I've manually pushed the new release now :) Thanks for making it happen!
","",""
