"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1376","nilearn","nilearn","aabadie","2017-02-06 23:11:56","It's all in the title and is similar to what was done in [joblib](https://github.com/joblib/joblib/pull/492).

Codecov merges results from different builds that's why coverage is activated in python 2.7.","start issue","[MRG] MAINT: switching from coveralls to codecov"
"issue_closed","1376","nilearn","nilearn","GaelVaroquaux","2017-02-07 09:41:04","","closed issue","[MRG] MAINT: switching from coveralls to codecov"
"pull_request_title","1376","nilearn","nilearn","aabadie","2017-02-06 23:11:56","It's all in the title and is similar to what was done in [joblib](https://github.com/joblib/joblib/pull/492).

Codecov merges results from different builds that's why coverage is activated in python 2.7.","d3e0dd6c66446bc161e1cb86370b832110126bd4","[MRG] MAINT: switching from coveralls to codecov"
"pull_request_merged","1376","nilearn","nilearn","GaelVaroquaux","2017-02-07 09:41:04","[MRG] MAINT: switching from coveralls to codecov","3265d59349b25857535412e030401d4bdeadb16e","Pull request merge from aabadie/nilearn:enable_codecov to nilearn/nilearn:master"
"issue_comment","1376","nilearn","nilearn","aabadie","2017-02-07 08:30:30","> Any idea why we are not getting the reports in github, as with joblib?

nope

> Maybe I need to enable codecov in github?

It seems to be enabled already","",""
"issue_comment","1376","nilearn","nilearn","aabadie","2017-02-07 08:35:45","@GaelVaroquaux maybe you should do that on the codecov side, I can't myself.","",""
"issue_comment","1376","nilearn","nilearn","aabadie","2017-02-07 09:40:20","> anything additional that you want to change, or should I merge this?

Nothing on my side. Maybe others will have requests ?","",""
"pull_request_commit","1376","nilearn","nilearn","aabadie","2017-02-06 23:09:18","MAINT: switching from coveralls to codecov","dd03707ef69c2811d8be044574a23db29be70eb9",""
"pull_request_commit","1376","nilearn","nilearn","aabadie","2017-02-06 23:14:50","disable comments","d6e38291a798751c519968a70e34057b430d2b2a",""
"pull_request_commit","1376","nilearn","nilearn","aabadie","2017-02-07 07:54:09","Revert ""disable comments""

This reverts commit d6e38291a798751c519968a70e34057b430d2b2a.","d3e0dd6c66446bc161e1cb86370b832110126bd4",""
