"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","362","idan","oauthlib","masci","2015-07-20 10:26:30","From v.1.0, accessing a missing field on request objects raises an AttributeError and this breaks the revocation endpoint, where an access to the `request.token_type_hint` attribute is performed during request validation.
Not sure if other parts of the library are affected, so I preferred to fix `Request`'s constructor instead of catching the error in the `RevocationEndpoint` class.
","start issue","Add token_type_hint to the list of default Request params"
"issue_closed","362","idan","oauthlib","lepture","2015-07-23 14:31:47","","closed issue","Add token_type_hint to the list of default Request params"
"pull_request_title","362","idan","oauthlib","masci","2015-07-20 10:26:30","From v.1.0, accessing a missing field on request objects raises an AttributeError and this breaks the revocation endpoint, where an access to the `request.token_type_hint` attribute is performed during request validation.
Not sure if other parts of the library are affected, so I preferred to fix `Request`'s constructor instead of catching the error in the `RevocationEndpoint` class.
","1ee0003814a5f89090f59802cbcccdb1e9f0938d","Add token_type_hint to the list of default Request params"
"pull_request_merged","362","idan","oauthlib","lepture","2015-07-23 14:31:47","Add token_type_hint to the list of default Request params","6d023226fad6ac96a4a428595039bfffc6f7eb49","Pull request merge from masci/oauthlib:token_type_hint_missing to idan/oauthlib:master"
"issue_comment","362","idan","oauthlib","masci","2015-07-23 14:01:34","@lepture, @tilgovi, @georgewhewell, @samjacoby, @foxx, @thedrow anyone available for a quick review of this PR?
","",""
"issue_comment","362","idan","oauthlib","lepture","2015-07-23 14:32:14","Yes token_type_hint  is optional: https://tools.ietf.org/html/rfc7009#section-2.1
","",""
"issue_comment","362","idan","oauthlib","masci","2015-07-23 14:57:08","@lepture do you think this is enough to draft a 1.0.1? I really need this fix in Django OAuth Toolkit.
","",""
"issue_comment","362","idan","oauthlib","thedrow","2015-07-25 06:57:28","@masci I can release 1.0.1 if needed.
","",""
"pull_request_commit","362","idan","oauthlib","masci","2015-07-20 09:38:10","add token_type_hint to the list of default Request params","1ee0003814a5f89090f59802cbcccdb1e9f0938d",""
